"filename", "language", "Markdown", "JSON", "YAML", "Dart", "Svelte", "Swift", "Groovy", "XML", "Java", "comment", "blank", "total"
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/ui/components/time_left_card.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/ui/views/create_goal_view/bottom_sheet_views/view_five.dart", "Dart", 0, 0, 0, 24, 0, 0, 0, 0, 0, 2, 5, 31
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/ui/views/create_goal_view/bottom_sheet_views/view_three.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/ui/views/create_goal_view/components/show_image_selection_bottom_sheet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/ui/views/create_goal_view/create_goal_view.dart", "Dart", 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, -14
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/ui/views/dashboard_view/components/add_goal_button.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/ui/views/dashboard_view/components/goal_card.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/ui/views/dashboard_view/dashboard_view.dart", "Dart", 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, -2, -5
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/ui/views/goal_view/components/add_money_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/ui/views/goal_view/components/goal_view_header.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/ui/views/goal_view/components/show_add_money_bottom_sheet.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 3, 11, 47
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/ui/views/goal_view/components/show_goal_settings_bottom_sheet.dart", "Dart", 0, 0, 0, -125, 0, 0, 0, 0, 0, -20, -5, -150
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/ui/views/profile_view/components/settings_section.dart", "Dart", 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, -8
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/ui/views/profile_view/profile_view.dart", "Dart", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/packages/device_preview_screenshot-1.0.0/CHANGELOG.md", "Markdown", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16
